Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Accuracy,BI,AUC
ROCKET,1000,max,linear,100,0.49,0.392,0.86
ROCKET,1000,max + ppv,linear,100,0.49,0.392,0.861
ROCKET,1000,ppv,linear,100,0.649,0.579,0.899
ROCKET,1000,max,linear,1000,0.49,0.392,0.8590000000000001
ROCKET,1000,max + ppv,linear,1000,0.49,0.392,0.8590000000000001
ROCKET,1000,ppv,linear,1000,0.649,0.579,0.898
ROCKET,1000,max,linear,10000,0.49,0.392,0.86
ROCKET,1000,max + ppv,linear,10000,0.49,0.392,0.861
ROCKET,1000,ppv,linear,10000,0.649,0.579,0.8959999999999999
ROCKET,1000,max,poly,100,0.451,0.35,0.8320000000000001
ROCKET,1000,max + ppv,poly,100,0.451,0.35,0.8320000000000001
ROCKET,1000,ppv,poly,100,0.6459999999999999,0.5760000000000001,0.898
ROCKET,1000,max,poly,1000,0.451,0.35,0.831
ROCKET,1000,max + ppv,poly,1000,0.451,0.35,0.831
ROCKET,1000,ppv,poly,1000,0.6459999999999999,0.5760000000000001,0.9
ROCKET,1000,max,poly,10000,0.451,0.35,0.8320000000000001
ROCKET,1000,max + ppv,poly,10000,0.451,0.35,0.831
ROCKET,1000,ppv,poly,10000,0.6459999999999999,0.5760000000000001,0.898
ROCKET,1000,max,rbf,100,0.502,0.406,0.863
ROCKET,1000,max + ppv,rbf,100,0.502,0.406,0.863
ROCKET,1000,ppv,rbf,100,0.65,0.58,0.8959999999999999
ROCKET,1000,max,rbf,1000,0.502,0.406,0.8640000000000001
ROCKET,1000,max + ppv,rbf,1000,0.502,0.406,0.8640000000000001
ROCKET,1000,ppv,rbf,1000,0.65,0.58,0.8959999999999999
ROCKET,1000,max,rbf,10000,0.502,0.406,0.863
ROCKET,1000,max + ppv,rbf,10000,0.502,0.406,0.863
ROCKET,1000,ppv,rbf,10000,0.65,0.58,0.8959999999999999
ROCKET,1000,max,sigmoid,100,0.195,0.057,0.542
ROCKET,1000,max + ppv,sigmoid,100,0.195,0.057,0.5379999999999999
ROCKET,1000,ppv,sigmoid,100,0.154,0.0,0.35200000000000004
ROCKET,1000,max,sigmoid,1000,0.16,0.025,0.556
ROCKET,1000,max + ppv,sigmoid,1000,0.16,0.025,0.5589999999999999
ROCKET,1000,ppv,sigmoid,1000,0.154,0.0,0.337
ROCKET,1000,max,sigmoid,10000,0.159,0.024,0.565
ROCKET,1000,max + ppv,sigmoid,10000,0.159,0.024,0.562
ROCKET,1000,ppv,sigmoid,10000,0.154,0.0,0.32799999999999996
ROCKET,2500,max,linear,100,0.496,0.39899999999999997,0.8640000000000001
ROCKET,2500,max + ppv,linear,100,0.496,0.39899999999999997,0.8640000000000001
ROCKET,2500,ppv,linear,100,0.669,0.602,0.9079999999999999
ROCKET,2500,max,linear,1000,0.496,0.39899999999999997,0.8640000000000001
ROCKET,2500,max + ppv,linear,1000,0.496,0.39899999999999997,0.8640000000000001
ROCKET,2500,ppv,linear,1000,0.669,0.602,0.907
ROCKET,2500,max,linear,10000,0.496,0.39899999999999997,0.863
ROCKET,2500,max + ppv,linear,10000,0.496,0.39899999999999997,0.863
ROCKET,2500,ppv,linear,10000,0.669,0.602,0.9079999999999999
ROCKET,2500,max,poly,100,0.447,0.345,0.835
