Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Skuteczność,BI,AUC
MINIROCKET,10000,max + ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,10000,max,sigmoid,100,0.69,0.0,0.5
MINIROCKET,10000,ppv,sigmoid,100,0.69,0.0,0.5
MINIROCKET,10000,max + ppv,sigmoid,1000,0.813,0.483,0.742
MINIROCKET,10000,max,sigmoid,1000,0.813,0.483,0.742
MINIROCKET,10000,ppv,sigmoid,1000,0.81,0.475,0.737
MINIROCKET,10000,max + ppv,sigmoid,10000,0.894,0.727,0.8640000000000001
MINIROCKET,10000,max,sigmoid,10000,0.894,0.727,0.8640000000000001
MINIROCKET,10000,ppv,sigmoid,10000,0.894,0.721,0.861
ROCKET,250,max + ppv,linear,100,0.888,0.7609999999999999,0.88
ROCKET,250,max,linear,100,0.888,0.7609999999999999,0.88
ROCKET,250,ppv,linear,100,0.888,0.721,0.86
ROCKET,250,max + ppv,linear,1000,0.888,0.7609999999999999,0.88
ROCKET,250,max,linear,1000,0.888,0.7609999999999999,0.88
ROCKET,250,ppv,linear,1000,0.888,0.721,0.86
ROCKET,250,max + ppv,linear,10000,0.888,0.7609999999999999,0.88
ROCKET,250,max,linear,10000,0.888,0.7609999999999999,0.88
ROCKET,250,ppv,linear,10000,0.888,0.721,0.86
ROCKET,250,max + ppv,poly,100,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,max,poly,100,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,ppv,poly,100,0.893,0.733,0.867
ROCKET,250,max + ppv,poly,1000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,max,poly,1000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,ppv,poly,1000,0.893,0.733,0.867
ROCKET,250,max + ppv,poly,10000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,max,poly,10000,0.8740000000000001,0.7190000000000001,0.86
ROCKET,250,ppv,poly,10000,0.893,0.733,0.867
ROCKET,250,max + ppv,rbf,100,0.903,0.792,0.8959999999999999
ROCKET,250,max,rbf,100,0.903,0.792,0.8959999999999999
ROCKET,250,ppv,rbf,100,0.899,0.75,0.875
ROCKET,250,max + ppv,rbf,1000,0.899,0.7859999999999999,0.893
ROCKET,250,max,rbf,1000,0.899,0.7859999999999999,0.893
ROCKET,250,ppv,rbf,1000,0.895,0.7390000000000001,0.87
ROCKET,250,max + ppv,rbf,10000,0.899,0.7859999999999999,0.893
ROCKET,250,max,rbf,10000,0.899,0.7859999999999999,0.893
ROCKET,250,ppv,rbf,10000,0.895,0.7390000000000001,0.87
ROCKET,250,max + ppv,sigmoid,100,0.55,-0.01,0.495
ROCKET,250,max,sigmoid,100,0.55,-0.01,0.495
ROCKET,250,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,250,max + ppv,sigmoid,1000,0.5429999999999999,-0.019,0.491
ROCKET,250,max,sigmoid,1000,0.5429999999999999,-0.019,0.491
ROCKET,250,ppv,sigmoid,1000,0.706,0.059000000000000004,0.53
ROCKET,250,max + ppv,sigmoid,10000,0.542,-0.019,0.491
ROCKET,250,max,sigmoid,10000,0.542,-0.019,0.491
ROCKET,250,ppv,sigmoid,10000,0.8009999999999999,0.45,0.725
ROCKET,500,max + ppv,linear,100,0.898,0.784,0.892
ROCKET,500,max,linear,100,0.898,0.784,0.892
ROCKET,500,ppv,linear,100,0.8959999999999999,0.742,0.871
ROCKET,500,max + ppv,linear,1000,0.898,0.784,0.892
ROCKET,500,max + ppv,linear,10000,0.898,0.784,0.892
ROCKET,500,max + ppv,poly,100,0.885,0.7440000000000001,0.872
ROCKET,500,max,poly,100,0.885,0.7440000000000001,0.872
ROCKET,500,ppv,poly,100,0.9009999999999999,0.755,0.877
ROCKET,500,max + ppv,poly,1000,0.885,0.7440000000000001,0.872
ROCKET,500,max + ppv,poly,10000,0.885,0.7440000000000001,0.872
ROCKET,500,max + ppv,rbf,100,0.91,0.807,0.903
ROCKET,500,max,rbf,100,0.91,0.807,0.903
ROCKET,500,ppv,rbf,100,0.9059999999999999,0.767,0.884
ROCKET,500,max + ppv,rbf,1000,0.909,0.807,0.903
ROCKET,500,max + ppv,rbf,10000,0.909,0.807,0.903
ROCKET,500,max + ppv,sigmoid,100,0.537,-0.04,0.48
ROCKET,500,max,sigmoid,100,0.537,-0.04,0.48
ROCKET,500,ppv,sigmoid,100,0.69,0.0,0.5
ROCKET,500,max + ppv,sigmoid,1000,0.534,-0.044000000000000004,0.478
ROCKET,500,max + ppv,sigmoid,10000,0.5329999999999999,-0.045,0.478
ROCKET,1000,max + ppv,linear,100,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,max,linear,100,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,ppv,linear,100,0.905,0.7659999999999999,0.883
ROCKET,1000,max + ppv,linear,1000,0.9079999999999999,0.8140000000000001,0.907
ROCKET,1000,max,linear,1000,0.9079999999999999,0.8140000000000001,0.907
